avg_costX,avg_costZ,distance,p,rounds,seed,success
0.0,0.0,3,0.0001,5,191664963,1
0.0,0.0,3,0.0001,5,1662057957,1
0.0,0.0,3,0.0001,5,1405681631,1
0.0,0.0,3,0.0001,5,942484272,1
0.0,0.0,3,0.0001,5,929893137,1
0.0,0.0,3,0.0001,5,1843824992,1
0.0,0.0,3,0.0001,5,184566854,1
0.0,0.0,3,0.0001,5,1497586438,1
0.0,0.0,3,0.0001,5,432652533,1
0.0,0.0,3,0.0001,5,202244314,1
0.0,0.0,3,0.0001,5,1130604997,1
0.0,0.0,3,0.0001,5,2095133045,1
0.0,0.0,3,0.0001,5,1580016183,1
0.0,0.0,3,0.0001,5,1634535062,1
0.0,0.0,3,0.0001,5,1540770719,1
0.0,0.0,3,0.0001,5,1688060240,1
0.0,0.0,3,0.0001,5,1102145672,1
0.0,0.0,3,0.0001,5,275121930,1
0.0,0.0,3,0.0001,5,1803345590,1
0.0,0.0,3,0.0001,5,967196436,1
0.0,0.0,3,0.0001,5,1074497555,1
0.0,0.0,3,0.0001,5,796282693,1
0.0,0.0,3,0.0001,5,392022359,1
0.0,0.0,3,0.0001,5,1990212658,1
0.0,0.0,3,0.0001,5,1678403330,1
0.0,0.0,3,0.0001,5,1382689815,1
0.0,0.0,3,0.0001,5,864178266,1
0.0,0.0,3,0.0001,5,1766867109,1
0.0,0.0,3,0.0001,5,1171300112,1
0.0,0.0,3,0.0001,5,952224740,1
0.0,0.0,3,0.0001,5,967354524,1
0.0,0.0,3,0.0001,5,487991438,1
0.0,0.0,3,0.0001,5,197860368,1
0.0,0.0,3,0.0001,5,1190961760,1
0.0,0.0,3,0.0001,5,1906728918,1
0.0,0.0,3,0.0001,5,137046513,1
0.0,0.0,3,0.0001,5,1843166518,1
0.0,0.0,3,0.0001,5,1777324407,1
0.0,0.0,3,0.0001,5,594336917,1
0.0,0.0,3,0.0001,5,1356488967,1
0.0,0.0,3,0.0001,5,354826746,1
0.0,0.0,3,0.0001,5,1627981024,1
0.0,0.0,3,0.0001,5,1504361614,1
0.0,0.0,3,0.0001,5,761338718,1
0.0,0.0,3,0.0001,5,145857092,1
0.0,0.0,3,0.0001,5,2084558133,1
0.0,0.0,3,0.0001,5,957106589,1
0.0,0.0,3,0.0001,5,1917963002,1
0.0,0.0,3,0.0001,5,1455819991,1
0.0,0.0,3,0.0001,5,1671565830,1
0.0,0.0,3,0.0001,5,1631871623,1
0.0,0.0,3,0.0001,5,417983441,1
0.0,0.0,3,0.0001,5,781482251,1
0.0,0.0,3,0.0001,5,1002275723,1
0.0,0.0,3,0.0001,5,1068999196,1
0.0,0.0,3,0.0001,5,94067870,1
0.0,0.0,3,0.0001,5,1173749071,1
0.0,0.0,3,0.0001,5,331334160,1
0.0,0.0,3,0.0001,5,1596387604,1
0.0,0.0,3,0.0001,5,1466836456,1
0.0,0.0,3,0.0001,5,1981113449,1
0.0,0.0,3,0.0001,5,1599364550,1
0.0,0.0,3,0.0001,5,787359109,1
0.0,0.0,3,0.0001,5,2077711328,1
0.0,0.0,3,0.0001,5,882294416,1
0.0,0.0,3,0.0001,5,699704628,1
0.0,0.0,3,0.0001,5,1944623248,1
0.0,0.0,3,0.0001,5,795556160,1
0.0,0.0,3,0.0001,5,163945743,1
0.0,0.0,3,0.0001,5,1008363426,1
0.0,0.0,3,0.0001,5,1708709735,1
0.0,0.0,3,0.0001,5,406886644,1
0.0,0.0,3,0.0001,5,994157306,1
0.0,0.0,3,0.0001,5,279004307,1
0.0,0.0,3,0.0001,5,1474200731,1
0.0,0.0,3,0.0001,5,1021568549,1
0.0,0.0,3,0.0001,5,709091226,1
