avg_costX,avg_costZ,distance,p,rounds,seed,success
0.0,0.0,3,0.0001,6,1351253091,1
0.0,0.0,3,0.0001,6,947894553,1
0.0,0.0,3,0.0001,6,1104059238,1
0.0,0.0,3,0.0001,6,571810498,1
0.0,0.0,3,0.0001,6,1067027577,1
0.0,0.0,3,0.0001,6,814704259,1
0.0,0.0,3,0.0001,6,531534247,1
0.0,0.0,3,0.0001,6,2132991552,1
0.0,0.0,3,0.0001,6,25327476,1
0.0,0.0,3,0.0001,6,208719315,1
0.0,0.0,3,0.0001,6,413180457,1
0.0,0.0,3,0.0001,6,2080950717,1
0.0,0.0,3,0.0001,6,1486127662,1
0.0,0.0,3,0.0001,6,1893744462,1
0.0,0.0,3,0.0001,6,430799658,1
0.0,0.0,3,0.0001,6,1548284816,1
0.0,0.0,3,0.0001,6,793573183,1
0.0,0.0,3,0.0001,6,1050150559,1
0.0,0.0,3,0.0001,6,8019223,1
0.0,0.0,3,0.0001,6,1326161203,1
0.0,0.0,3,0.0001,6,1782513925,1
0.0,0.0,3,0.0001,6,1425262065,1
0.0,0.0,3,0.0001,6,331702645,1
0.0,0.0,3,0.0001,6,1146331533,1
0.0,0.0,3,0.0001,6,574665130,1
0.0,0.0,3,0.0001,6,2072097652,1
0.0,0.0,3,0.0001,6,1890498904,1
0.0,0.0,3,0.0001,6,399930127,1
0.0,0.0,3,0.0001,6,1094767427,1
0.0,0.0,3,0.0001,6,2018102210,1
0.0,0.0,3,0.0001,6,1819241300,1
0.0,0.0,3,0.0001,6,1520252679,1
0.0,0.0,3,0.0001,6,1373782154,1
0.0,0.0,3,0.0001,6,90439481,1
0.0,0.0,3,0.0001,6,1592940979,1
0.0,0.0,3,0.0001,6,1016862180,1
0.0,0.0,3,0.0001,6,196485315,1
0.0,0.0,3,0.0001,6,525027445,1
0.0,0.0,3,0.0001,6,1162097506,1
0.0,0.0,3,0.0001,6,1560763481,1
0.0,0.0,3,0.0001,6,1090432573,1
0.0,0.0,3,0.0001,6,1316294024,1
0.0,0.0,3,0.0001,6,1871187062,1
0.0,0.0,3,0.0001,6,1473219433,1
0.0,0.0,3,0.0001,6,775808658,1
0.0,0.0,3,0.0001,6,1381360663,1
0.0,0.0,3,0.0001,6,1284590501,1
0.0,0.0,3,0.0001,6,232416243,1
0.0,0.0,3,0.0001,6,127241932,1
0.0,0.0,3,0.0001,6,1417675531,1
0.0,0.0,3,0.0001,6,832432953,1
0.0,0.0,3,0.0001,6,1284902936,1
0.0,0.0,3,0.0001,6,693715270,1
0.0,0.0,3,0.0001,6,484582549,1
0.0,0.0,3,0.0001,6,322551461,1
0.0,0.0,3,0.0001,6,819442989,1
0.0,0.0,3,0.0001,6,1753072728,1
0.0,0.0,3,0.0001,6,861136854,1
0.0,0.0,3,0.0001,6,814854448,1
0.0,0.0,3,0.0001,6,1235630862,1
0.0,0.0,3,0.0001,6,2101845076,1
0.0,0.0,3,0.0001,6,842335582,1
0.0,0.0,3,0.0001,6,1266997512,1
0.0,0.0,3,0.0001,6,943789710,1
0.0,0.0,3,0.0001,6,1299348410,1
0.0,0.0,3,0.0001,6,957152603,1
0.0,0.0,3,0.0001,6,1370087223,1
0.0,0.0,3,0.0001,6,1175000481,1
0.0,0.0,3,0.0001,6,1452665836,1
0.0,0.0,3,0.0001,6,2054636806,1
0.0,0.0,3,0.0001,6,323814804,1
0.0,0.0,3,0.0001,6,1206101994,1
0.0,0.0,3,0.0001,6,945565970,1
0.0,0.0,3,0.0001,6,768789383,1
0.0,0.0,3,0.0001,6,514459690,1
0.0,0.0,3,0.0001,6,112227987,1
0.0,0.0,3,0.0001,6,864358513,1
0.0,0.0,3,0.0001,6,1774164003,1
0.0,0.0,3,0.0001,6,207670459,1
0.0,0.0,3,0.0001,6,872107328,1
0.0,0.0,3,0.0001,6,2078394912,1
0.0,0.0,3,0.0001,6,2043260884,1
0.0,0.0,3,0.0001,6,461717653,1
0.0,0.0,3,0.0001,6,16301540,1
0.0,0.0,3,0.0001,6,1442604701,1
0.0,0.0,3,0.0001,6,30628420,1
0.0,0.0,3,0.0001,6,645147212,1
0.0,0.0,3,0.0001,6,1067425246,1
0.0,0.0,3,0.0001,6,1877066119,1
0.0,0.0,3,0.0001,6,199408321,1
0.0,0.0,3,0.0001,6,1422095321,1
0.0,0.0,3,0.0001,6,1144680404,1
0.0,0.0,3,0.0001,6,282642811,1
0.0,0.0,3,0.0001,6,1815944263,1
